panel,order_in_panel,assay,lloq,uloq,lod,pos.cutoff,assay_label,assay_label_short,llox_label,for_correlates,trunc
bind_IgG_saliva,7,bindSpike_IgG_saliva_KP.2,2.3,796.8,NA,2.3,Saliva Binding IgG Antibody to Spike KP.2,Saliva IgG Spike KP.2 (AU/ml),lloq,1,NA
bind_IgG_saliva,8,bindSpike_IgG_saliva_KP.3,3.4,659.5,NA,3.4,Saliva Binding IgG Antibody to Spike KP.3,Saliva IgG Spike KP.3 (AU/ml),lloq,1,NA
bind_IgG_saliva,9,bindSpike_IgG_saliva_LB.1,2,644.1,NA,2,Saliva Binding IgG Antibody to Spike LB.1,Saliva IgG Spike LB.1 (AU/ml),lloq,1,NA
bind_IgG_saliva,10,bindSpike_IgG_saliva_mdw,0,Inf,NA,0,Saliva Binding IgG Antibody to Spike crossreactivity score,Saliva IgG Spike crossreactivity score,lloq,1,NA
bind_IgG_saliva,11,bindN_IgG_saliva,9.1,391.1,NA,9.1,Saliva Binding IgG Antibody to N Index,Saliva IgG N Index (AU/ml),lloq,1,NA
bind_IgA_saliva,1,bindSpike_IgA_saliva,14.4,550.2,NA,14.4,Saliva Binding IgA Antibody to Spike D614,Saliva IgA Spike D614 (AU/ml),lloq,1,NA
bind_IgA_saliva,2,bindSpike_IgA_saliva_delta_AY.4,13.4,543.2,NA,13.4,Saliva Binding IgA Antibody to Spike Delta AY.4,Saliva IgA Spike Delta AY.4 (AU/ml),lloq,1,NA
bind_IgA_saliva,3,bindSpike_IgA_saliva_BA.5,10.4,546.1,NA,10.4,Saliva Binding IgA Antibody to Spike BA.5,Saliva IgA Spike BA.5 (AU/ml),lloq,1,NA
bind_IgA_saliva,4,bindSpike_IgA_saliva_BA.2.86,4.3,476.8,NA,4.3,Saliva Binding IgA Antibody to Spike BA.2.86,Saliva IgA Spike BA.2.86 (AU/ml),lloq,1,NA
bind_IgA_saliva,5,bindSpike_IgA_saliva_XBB.1.5,4.3,413.4,NA,4.3,Saliva Binding IgA Antibody to Spike XBB.1.5,Saliva IgA Spike XBB.1.5 (AU/ml),lloq,1,NA
bind_IgA_saliva,6,bindSpike_IgA_saliva_JN.1,3.7,390.6,NA,3.7,Saliva Binding IgA Antibody to Spike JN.1,Saliva IgA Spike JN.1 (AU/ml),lloq,1,NA
bind_IgA_saliva,7,bindSpike_IgA_saliva_KP.2,3.5,327.2,NA,3.5,Saliva Binding IgA Antibody to Spike KP.2,Saliva IgA Spike KP.2 (AU/ml),lloq,1,NA
bind_IgA_saliva,8,bindSpike_IgA_saliva_KP.3,3.4,244.2,NA,3.4,Saliva Binding IgA Antibody to Spike KP.3,Saliva IgA Spike KP.3 (AU/ml),lloq,1,NA
bind_IgA_saliva,9,bindSpike_IgA_saliva_LB.1,3,303,NA,3,Saliva Binding IgA Antibody to Spike LB.1,Saliva IgA Spike LB.1 (AU/ml),lloq,1,NA
bind_IgA_saliva,10,bindSpike_IgA_saliva_mdw,0,Inf,NA,0,Saliva Binding IgA Antibody to Spike crossreactivity score,Saliva IgA Spike crossreactivity score,lloq,1,NA
bind_IgA_saliva,11,bindN_IgA_saliva,NA,NA,NA,NA,Not measured,Not measured,lloq,1,NA
pseudoneutid50_sera,3,pseudoneutid50_sera_KP.2,19,1040,NA,10,Serum neutralization to KP.2,Serum nAb ID50 KP.2 (AU/ml),lloq,1,NA
pseudoneutid50_sera,1,pseudoneutid50_sera,10,5598,NA,10,Serum neutralization to D614G,Serum nAb ID50 D614G (AU/ml),lloq,1,NA
pseudoneutid50_nasal,5,pseudoneutid50_nasal,21,874,NA,10,Nasal neutralization to D614G,Nasal nAb ID50 D614G (AU/ml),lloq,1,NA
pseudoneutid50_saliva,9,pseudoneutid50_saliva,14,927,NA,10,Saliva neutralization to D614G,Saliva nAb ID50 D614G (AU/ml),lloq,1,NA
PBMC,1,T4_IFNg_OR_IL2_N_Index,NA,Inf,NA,NA,CD4+ T cells IFN or IL2 to N Index,CD4+ T cells IFN/IL2 to N Index,lloq,1,0.001
PBMC,2,T4_IFNg_OR_IL2_Spike_KP.2,NA,Inf,NA,NA,CD4+ T cells IFN or IL2 to Spike KP.2,CD4+ T cells IFN/IL2 to Spike KP.2,lloq,1,0.001
PBMC,3,T4_IFNg_OR_IL2_Spike_Index.D614,NA,Inf,NA,NA,CD4+ T cells IFN or IL2 to Spike Index/D614,CD4+ T cells IFN/IL2 to Spike Index/D614,lloq,1,0.001
PBMC,4,T8_IFNg_OR_IL2_N_Index,NA,Inf,NA,NA,CD8+ T cells IFN or IL2 to N Index,CD8+ T cells IFN/IL2 to N Index,lloq,1,0.001
PBMC,5,T8_IFNg_OR_IL2_Spike_KP.2,NA,Inf,NA,NA,CD8+ T cells IFN or IL2 to Spike KP.2,CD8+ T cells IFN/IL2 to Spike KP.2,lloq,1,0.001
PBMC,6,T8_IFNg_OR_IL2_Spike_Index.D614,NA,Inf,NA,NA,CD8+ T cells IFN or IL2 to Spike Index/D614,CD8+ T cells IFN/IL2 to Spike Index/D614,lloq,1,0.001
